Polyelectrolytes;D01.248.249
Ions;D01.248.497
Anions;D01.248.497.158
Arsenates;D01.248.497.158.050
Arsenites;D01.248.497.158.055
Borates;D01.248.497.158.076
Bromates;D01.248.497.158.100
Bromides;D01.248.497.158.125
Carbonates;D01.248.497.158.165
Bicarbonates;D01.248.497.158.165.100
Chlorates;D01.248.497.158.190
Chlorides;D01.248.497.158.215
Chromates;D01.248.497.158.235
Cyanides;D01.248.497.158.291
Ferricyanides;D01.248.497.158.291.350
Nitroprusside;D01.248.497.158.291.350.550
Ferrocyanides;D01.248.497.158.291.370
Fluorides;D01.248.497.158.380
Hydroxides;D01.248.497.158.459
Aluminum Hydroxide;D01.248.497.158.459.075
Ammonium Hydroxide;D01.248.497.158.459.113
Calcium Hydroxide;D01.248.497.158.459.150
Hydroxyl Radical;D01.248.497.158.459.300
Lye;D01.248.497.158.459.344
Magnesium Hydroxide;D01.248.497.158.459.388
Sodium Hydroxide;D01.248.497.158.459.475
Water;D01.248.497.158.459.650
Deuterium Oxide;D01.248.497.158.459.650.200
Drinking Water;D01.248.497.158.459.650.300
Ice;D01.248.497.158.459.650.400
Mineral Waters;D01.248.497.158.459.650.600
Carbonated Water;D01.248.497.158.459.650.600.500
Steam;D01.248.497.158.459.650.800
Iodates;D01.248.497.158.480
Iodides;D01.248.497.158.490
Nitrates;D01.248.497.158.606
Nitrites;D01.248.497.158.635
Oxides;D01.248.497.158.685
Peroxides;D01.248.497.158.685.750
Artemisinins;D01.248.497.158.685.750.212
Hydrogen Peroxide;D01.248.497.158.685.750.424
Lipid Peroxides;D01.248.497.158.685.750.637
Prostaglandin Endoperoxides;D01.248.497.158.685.750.744
Prostaglandins G;D01.248.497.158.685.750.744.600
Prostaglandins H;D01.248.497.158.685.750.744.650
Prostaglandin H2;D01.248.497.158.685.750.744.650.500
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid;D01.248.497.158.685.750.744.650.500.500
Superoxides;D01.248.497.158.685.750.850
tert-Butylhydroperoxide;D01.248.497.158.685.750.925
Tetraoxanes;D01.248.497.158.685.750.962
Phosphates;D01.248.497.158.730
Polyphosphates;D01.248.497.158.730.650
Diphosphates;D01.248.497.158.730.650.200
Phosphites;D01.248.497.158.750
Sulfates;D01.248.497.158.845
Thiosulfates;D01.248.497.158.845.703
Sulfides;D01.248.497.158.874
Disulfides;D01.248.497.158.874.390
Cystine;D01.248.497.158.874.390.369
Sulfites;D01.248.497.158.904
Dithionite;D01.248.497.158.904.150
Vanadates;D01.248.497.158.952
Cations;D01.248.497.300
Cations, Divalent;D01.248.497.300.333
Cations, Monovalent;D01.248.497.300.459
Protons;D01.248.497.300.459.700
Elements;D01.268
Carbon;D01.268.150
Charcoal;D01.268.150.150
Diamond;D01.268.150.200
Nanodiamonds;D01.268.150.200.550
Fullerenes;D01.268.150.250
Nanotubes, Carbon;D01.268.150.250.500
Graphite;D01.268.150.300
Chalcogens;D01.268.185
Oxygen;D01.268.185.550
Polonium;D01.268.185.600
Selenium;D01.268.185.850
Sulfur;D01.268.185.900
Tellurium;D01.268.185.950
Elements, Radioactive;D01.268.271
Actinoid Series Elements;D01.268.271.100
Actinium;D01.268.271.100.033
Americium;D01.268.271.100.050
Berkelium;D01.268.271.100.100
Californium;D01.268.271.100.150
Curium;D01.268.271.100.175
Einsteinium;D01.268.271.100.250
Fermium;D01.268.271.100.275
Lawrencium;D01.268.271.100.500
Mendelevium;D01.268.271.100.525
Neptunium;D01.268.271.100.550
Nobelium;D01.268.271.100.575
Plutonium;D01.268.271.100.700
Protactinium;D01.268.271.100.725
Thorium;D01.268.271.100.900
Uranium;D01.268.271.100.950
Astatine;D01.268.271.110
Francium;D01.268.271.380
Polonium;D01.268.271.680
Promethium;D01.268.271.720
Radium;D01.268.271.770
Radon;D01.268.271.800
Radon Daughters;D01.268.271.800.800
Technetium;D01.268.271.870
Halogens;D01.268.380
Astatine;D01.268.380.075
Bromine;D01.268.380.112
Chlorine;D01.268.380.150
Fluorine;D01.268.380.300
Iodine;D01.268.380.400
Hydrogen;D01.268.406
Deuterium;D01.268.406.500
Deuterium Oxide;D01.268.406.500.250
Protons;D01.268.406.750
Tritium;D01.268.406.875
Metalloids;D01.268.513
Antimony;D01.268.513.124
Arsenic;D01.268.513.249
Boron;D01.268.513.500
Germanium;D01.268.513.750
Polonium;D01.268.513.875
Silicon;D01.268.513.937
Tellurium;D01.268.513.968
Metals, Alkali;D01.268.549
Cesium;D01.268.549.125
Francium;D01.268.549.250
Lithium;D01.268.549.450
Potassium;D01.268.549.550
Rubidium;D01.268.549.650
Sodium;D01.268.549.750
Metals, Alkaline Earth;D01.268.552
Barium;D01.268.552.050
Beryllium;D01.268.552.075
Calcium;D01.268.552.100
Magnesium;D01.268.552.437
Radium;D01.268.552.775
Strontium;D01.268.552.850
Metals, Heavy;D01.268.556
Actinium;D01.268.556.025
Americium;D01.268.556.037
Antimony;D01.268.556.050
Barium;D01.268.556.062
Berkelium;D01.268.556.075
Bismuth;D01.268.556.100
Cadmium;D01.268.556.137
Californium;D01.268.556.156
Cesium;D01.268.556.165
Chromium;D01.268.556.175
Cobalt;D01.268.556.185
Copper;D01.268.556.195
Curium;D01.268.556.200
Einsteinium;D01.268.556.244
Fermium;D01.268.556.266
Francium;D01.268.556.277
Gallium;D01.268.556.289
Germanium;D01.268.556.305
Gold;D01.268.556.322
Hafnium;D01.268.556.337
Indium;D01.268.556.381
Iridium;D01.268.556.401
Iron;D01.268.556.412
